Date,Open,High,Low,Close,Volume,Close_time,Asset_volume,Trade_number,Taker_buy_base,Taker_buy_quote
2020-08-14 03:15:00,11745.43000000,11761.04000000,11735.00000000,11735.00000000,389.93271000,2020-08-14 03:15:00,4581269.81088441,8951,216.59248900,2544781.99860605
2020-08-14 03:30:00,11735.00000000,11778.30000000,11733.97000000,11761.69000000,555.06123500,2020-08-14 03:30:00,6528478.54637337,10587,300.77967100,3537237.49620682
2020-08-14 03:45:00,11761.69000000,11796.32000000,11760.00000000,11781.20000000,578.04674900,2020-08-14 03:45:00,6808254.68126284,10385,292.98468900,3450771.04693199
2020-08-14 04:00:00,11781.19000000,11791.64000000,11743.34000000,11753.25000000,484.26685300,2020-08-14 04:00:00,5696022.02102924,9253,257.83626200,3032828.67619092
2020-08-14 04:15:00,11753.32000000,11800.43000000,11752.03000000,11779.99000000,414.05283800,2020-08-14 04:15:00,4875816.04608097,8457,219.67462500,2587432.67381599
2020-08-14 04:30:00,11779.99000000,11793.85000000,11729.00000000,11739.86000000,499.95931100,2020-08-14 04:30:00,5874737.44186418,9755,243.99360600,2867022.84260331
2020-08-14 04:45:00,11739.86000000,11749.33000000,11719.36000000,11727.08000000,618.72122100,2020-08-14 04:45:00,7259389.43393249,8996,302.15766800,3545045.15939124
2020-08-14 05:00:00,11727.08000000,11741.66000000,11653.00000000,11700.80000000,982.99236900,2020-08-14 05:00:00,11500119.89863360,15235,419.16840100,4904013.81979001
2020-08-14 05:15:00,11700.90000000,11748.68000000,11700.89000000,11720.70000000,601.68309400,2020-08-14 05:15:00,7055609.43763182,10137,317.30346100,3720636.38117623
2020-08-14 05:30:00,11720.82000000,11743.93000000,11715.00000000,11717.77000000,446.67991000,2020-08-14 05:30:00,5240123.47073548,7267,198.41482100,2327449.34133087
2020-08-14 05:45:00,11717.76000000,11743.10000000,11717.30000000,11723.23000000,395.77782600,2020-08-14 05:45:00,4642480.37766488,6202,219.75821500,2577524.74425127
2020-08-14 06:00:00,11723.24000000,11759.00000000,11723.00000000,11744.51000000,491.01843200,2020-08-14 06:00:00,5767845.16756601,7615,218.08499600,2561668.80717744
2020-08-14 06:15:00,11744.51000000,11751.08000000,11726.11000000,11737.49000000,457.45844400,2020-08-14 06:15:00,5370926.95463435,7349,216.85796500,2545967.89560051
2020-08-14 06:30:00,11737.49000000,11738.25000000,11694.89000000,11704.93000000,466.94997300,2020-08-14 06:30:00,5468632.09157245,9024,218.30991800,2556300.80584640
2020-08-14 06:45:00,11704.93000000,11731.20000000,11695.55000000,11714.73000000,351.75816000,2020-08-14 06:45:00,4121003.77251878,7197,175.35406500,2054481.07419781
2020-08-14 07:00:00,11714.72000000,11722.73000000,11695.12000000,11695.72000000,459.55220400,2020-08-14 07:00:00,5380562.08968041,7893,243.74014000,2854146.42674008
2020-08-14 07:15:00,11695.72000000,11718.77000000,11687.96000000,11708.20000000,524.60818300,2020-08-14 07:15:00,6137476.08138221,9350,282.72003800,3307609.93408106
2020-08-14 07:30:00,11708.20000000,11723.25000000,11685.80000000,11686.79000000,523.27950400,2020-08-14 07:30:00,6119639.32663753,8006,295.54485700,3456208.09581006
2020-08-14 07:45:00,11686.71000000,11740.88000000,11681.36000000,11718.29000000,853.83646300,2020-08-14 07:45:00,10005019.15712517,11655,407.14612000,4769015.12226954
2020-08-14 08:00:00,11718.29000000,11719.39000000,11681.00000000,11687.01000000,519.64704200,2020-08-14 08:00:00,6076379.75417031,10327,252.13742300,2948286.05432577
2020-08-14 08:15:00,11686.87000000,11704.44000000,11680.94000000,11688.77000000,495.17213900,2020-08-14 08:15:00,5789719.71686026,8724,251.89007800,2945300.72382343
2020-08-14 08:30:00,11688.18000000,11693.23000000,11671.29000000,11677.90000000,503.73783700,2020-08-14 08:30:00,5883916.57696492,8539,259.91778000,3036023.76097462
2020-08-14 08:45:00,11677.89000000,11702.40000000,11668.96000000,11668.96000000,561.87566700,2020-08-14 08:45:00,6567566.88214979,7855,268.04661200,3132898.95610684
2020-08-14 09:00:00,11668.97000000,11684.19000000,11634.03000000,11653.46000000,1073.60446900,2020-08-14 09:00:00,12515666.54246287,17644,462.70376200,5394267.03588604
2020-08-14 09:15:00,11653.46000000,11701.59000000,11650.00000000,11701.59000000,959.64062800,2020-08-14 09:15:00,11205367.54987637,12813,447.91713100,5230581.88997316
2020-08-14 09:30:00,11701.00000000,11705.34000000,11678.65000000,11682.81000000,572.76718200,2020-08-14 09:30:00,6696685.02842034,9433,246.78784900,2885702.87942703
2020-08-14 09:45:00,11682.80000000,11703.06000000,11680.89000000,11696.98000000,507.23249900,2020-08-14 09:45:00,5930482.40081687,8593,251.72276800,2942971.15507750
2020-08-14 10:00:00,11697.36000000,11736.79000000,11693.83000000,11725.25000000,752.93539000,2020-08-14 10:00:00,8824948.57905300,12807,371.60500800,4355313.04520859
2020-08-14 10:15:00,11725.12000000,11728.31000000,11698.42000000,11724.20000000,575.91751100,2020-08-14 10:15:00,6747082.22996263,9304,276.74288700,3242236.49618923
2020-08-14 10:30:00,11724.21000000,11724.40000000,11663.00000000,11686.20000000,767.25200800,2020-08-14 10:30:00,8966488.45829670,11045,341.12786500,3985980.25057528
2020-08-14 10:45:00,11686.21000000,11690.72000000,11666.16000000,11681.37000000,591.00029200,2020-08-14 10:45:00,6903351.53245838,8743,217.21906800,2537107.57141824
2020-08-14 11:00:00,11681.37000000,11696.34000000,11662.00000000,11693.75000000,703.08962500,2020-08-14 11:00:00,8208376.88505230,11949,347.80349900,4060218.61698603
2020-08-14 11:15:00,11693.75000000,11706.44000000,11692.02000000,11701.81000000,644.25331200,2020-08-14 11:15:00,7537562.93040551,10747,278.30188700,3256130.74488232
2020-08-14 11:30:00,11701.82000000,11702.05000000,11671.33000000,11682.05000000,716.20328100,2020-08-14 11:30:00,8369993.24554961,12336,319.44917000,3733246.58219045
2020-08-14 11:45:00,11682.05000000,11706.92000000,11662.03000000,11698.38000000,474.44879800,2020-08-14 11:45:00,5543106.36028391,9391,239.61274500,2799481.60558201
2020-08-14 12:00:00,11698.37000000,11728.79000000,11692.27000000,11725.42000000,583.12346900,2020-08-14 12:00:00,6827767.43675318,10982,305.37240300,3575486.63789544
2020-08-14 12:15:00,11725.41000000,11733.03000000,11707.97000000,11715.93000000,459.63925400,2020-08-14 12:15:00,5387731.71367104,9376,242.21985900,2839111.73687037
2020-08-14 12:30:00,11715.87000000,11738.93000000,11709.43000000,11733.78000000,500.16626000,2020-08-14 12:30:00,5864200.76337058,8699,264.02996200,3095529.02545409
2020-08-14 12:45:00,11733.78000000,11758.37000000,11720.00000000,11720.72000000,736.57659300,2020-08-14 12:45:00,8647849.09692191,11633,396.49546600,4654940.27050800
2020-08-14 13:00:00,11720.51000000,11738.97000000,11696.16000000,11729.25000000,634.44393200,2020-08-14 13:00:00,7433385.69968663,12916,306.39066100,3590042.80816641
